# onkz;ort
30;Ahrensfelde
40;Ammersbek
69;Eschborn
89;Aschheim
201;Essen
202;Ennepetal
203;Duisburg
208;Duisburg
209;Gelsenkirchen
211;Düsseldorf
212;Langenfeld
214;K�ln
221;K�ln
228;Alfter
231;Dortmund
234;Bochum
241;Aachen
251;M�nster
261;Koblenz
271;Flammersbach
281;Hamminkeln
291;Meschede
331;Golm
335;Frankfurt
340;Dessau
341;Bienitz
345;Angersdorf
351;Altfranken
355;Cottbus
361;Bechstedt-Wagd
365;Gera
371;Chemnitz
375;Friedrichsgr�n
381;Bentwisch
385;Br�sewitz
391;Birkenweiler
395;Blankenhof
431;Altenholz
441;Bad Zwischenahn
451;Bad Schwartau
461;Flensburg
471;Bremerhaven
481;Heide
491;Detern
511;Garbsen
521;Bad Salzuflen
531;Braunschweig
541;Bissendorf
551;Bovenden
561;Ahnatal
571;B�ckeburg
581;Schwienau
591;Emsb�ren
611;Mainz-Kastel
621;Edingen-Neckarhausen
631;Kaiserslautern
641;Fernwald
651;Aach
661;Eichenzell
671;Bad Kreuznach
681;Bischmisheim
711;aichswald
721;Eggenstein-Leopoldshafen
731;Blaustein
741;Dietingen
751;Atzenweiler
761;Au
771;Br�unlingen
781;Durbach
791;B�hlerzimmern
811;Freising
821;Augsburg
831;Betzigau
841;Ingolstadt
851;Passau
861;Erlst�tt
871;Altdorf
881;Polling
906;Asbach-B�umenheim
911;Cadolzburg
921;Bayreuth
931;Gerbrunn
941;Lappersdorf
951;Bamberg
961;Bechtsrieth
962;Hirschau
971;Bad Kissingen
981;Ansbach
991;Berg
1801;K�nigsee
2041;Bottrop
2043;Gladbeck
2045;Bottrop
2051;Heiligenhaus
2052;Hattingen
2053;Velbert
2054;Essen
2056;Heiligenhaus
2058;Heiligenhaus
2064;Dinslaken
2065;Duisburg
2066;Duisburg
2102;D�sseldorf
2103;Erkrath
2104;D�sseldorf
2111;Ddorf
2129;Erkrath
2131;Kaarst
2132;Meerbusch
2133;Dormagen
2137;Neuss
2150;Meerbusch
2151;Duisburg
2152;Kempen
2153;Br�ggen
2154;Krefeld
2156;Krefeld
2157;Br�ggen
2158;Grefrath
2159;Meerbusch
2161;Kaarst
2162;Grefrath
2163;Br�ggen
2164;Bedburg
2165;J�chen
2166;J�chen
2171;Langenfeld
2173;Langenfeld
2174;Burscheid
2175;Langenfeld
2181;Grevenbroich
2182;Dormagen
2183;Bergheim
2191;Radevormwald
2192;H�ckeswagen
2193;Dabringhausen
2195;Breckerfeld
2196;Solingen
2202;Bergisch Gladbach
2203;K�ln
2204;Bergisch Gladbach
2205;Lohmar
2206;Engelskirchen
2207;Bergisch Gladbach
2208;Niederkassel
2222;Alfter
2223;K�nigswinter
2224;Bad Honnef
2225;Grafschaft
2226;Euskirchen
2227;Bornheim
2228;Remagen
2232;Bornheim
2233;H�rth
2234;Frechen
2235;Erftstadt
2236;Bornheim
2237;Kerpen
2238;Bergheim
2241;Lohmar
2242;Hennef
2243;Eitorf
2244;Hennef
2245;Much
2246;Lohmar
2247;Lohmar
2248;Buchholz
2251;Euskirchen
2252;Vettwei�
2253;Bad M�nstereifel
2254;Swisttal
2255;Euskirchen
2256;Euskirchen
2257;Bad M�nstereifel
2261;Bergneustadt
2262;Engelskirchen
2263;Engelskirchen
2264;Griemeringhausen
2265;Bergneustadt
2266;Gummersbach
2267;Agathaberg
2268;K�rten
2269;Kierspe
2271;Bergheim
2272;Bedburg
2273;Bergheim
2274;Elsdorf
2275;Kerpen
2291;Altehufen
2292;Eulenbruch
2293;Much
2294;Birken-Honigsessen
2295;Much
2296;Reichshof
2297;Friesenhagen
2301;Holzwickede
2302;Wetter
2303;Fr�ndenberg
2304;Dortmund
2305;Castrop-Rauxel
2306;Bergkamen
2307;Bergkamen
2308;B�nen
2309;Waltrop
2323;Herne
2324;Hattingen
2325;Herne
2327;Bochum
2330;Herdecke
2331;Breckerfeld
2332;Gevelsberg
2333;Breckerfeld
2334;Hagen
2335;Herdecke
2336;Schwelm
2337;Breckerfeld
2338;Breckerfeld
2339;Gevelsberg
2345;Teststadt
2351;Altena
2352;Altena
2353;Halver
2354;Gummersbach
2355;Hagen
2357;Herscheid
2358;Meinerzhagen
2359;Kierspe
2360;Dorsten
2361;Recklinghausen
2362;Bottrop
2363;Datteln
2364;Haltern
2365;Dorsten
2366;Herten
2367;Castrop-Rauxel
2368;Oer-Erkenschwick
2369;Dorsten
2371;Iserlohn
2372;Hemer
2373;Fr�ndenberg
2374;Gr�ne
2375;Balve
2377;Ense
2378;Fr�ndenberg
2379;Arnsberg
2381;Hamm
2382;Ahlen
2383;B�nen
2384;Hamm
2385;Hamm
2387;Ahlen
2388;Ahlen
2389;Bergkamen
2391;Herscheid
2392;Altena
2393;Sundern
2394;Neuenrade
2395;Finnentrop
2401;Baesweiler
2402;Eschweiler
2403;Eschweiler
2404;Alsdorf
2405;Aachen
2406;Alsdorf
2407;Aachen
2408;Aachen
2409;Langerwehe
2421;D�ren
2422;D�ren
2423;Inden
2424;Vettwei�
2425;Heimbach
2426;N�rvenich
2427;H�rtgenwald
2428;D�ren
2429;H�rtgenwald
2431;Erkelenz
2432;Erkelenz
2433;Erkelenz
2434;Erkelenz
2435;Erkelenz
2436;Niederkr�chten
2440;Blankenheim
2441;Kall
2443;Mechernich
2444;Schleiden
2445;Hellenthal
2446;Heimbach
2447;Dahlem
2448;Dahlem
2449;Blankenheim
2451;Geilenkirchen
2452;Heinsberg
2453;Geilenkirchen
2454;Gangelt
2455;Gangelt
2456;Gangelt
2461;J�lich
2462;Geilenkirchen
2463;Bedburg
2464;Aldenhoven
2465;Inden
2471;Roetgen
2472;Monschau
2473;Simmerath
2474;Heimbach
2482;Hellenthal
2484;Mechernich
2485;Schleiden
2486;Kall
2501;M�nster
2502;Nottuln
2504;Greven
2505;Altenberge
2506;Everswinkel
2507;Billerbeck
2508;Ahlen
2509;D�lmen
2520;Oelde
2521;Ahlen
2522;Beckum
2523;Wadersloh
2524;Ennigerloh
2525;Ahlen
2526;Ahlen
2527;Lippetal
2528;Ahlen
2529;Oelde
2532;Ostbevern
2533;Altenberge
2534;Havixbeck
2535;Sendenhorst
2536;M�nster
2538;Drensteinfurt
2541;Billerbeck
2542;Gescher
2543;Billerbeck
2545;Billerbeck
2546;Coesfeld
2547;Rosendahl
2548;Coesfeld
2551;Horstmar
2552;Horstmar
2553;Metelen
2554;Billerbeck
2555;Horstmar
2556;Horstmar
2557;Neuenkirchen
2558;Horstmar
2561;Ahaus
2562;Gronau
2563;Ahaus
2564;Ahaus
2565;Ahaus
2566;Legden
2567;Ahaus
2568;Heek
2571;Greven
2572;Emsdetten
2573;Nordwalde
2574;Greven
2575;Greven
2581;Everswinkel
2582;Everswinkel
2583;Sassenberg
2584;Ostbevern
2585;Ennigerloh
2586;Beelen
2587;Ennigerloh
2588;Harsewinkel
2590;D�lmen
2591;L�dinghausen
2592;Olfen
2593;Ascheberg
2594;D�lmen
2595;L�dinghausen
2596;Nordkirchen
2597;L�dinghausen
2598;L�dinghausen
2599;Ascheberg
2601;Alsbach
2602;Bannberscheid
2603;Arzbach
2604;Attenhausen
2605;Alken
2606;Dieblich
2607;Dieblich
2608;Oberelbert
2620;Eitelborn
2621;Lahnstein
2622;Bendorf
2623;Breitenau
2624;Faulbach
2625;Achterspannerhof
2626;Deesen
2627;Braubach
2628;Brey
2630;Kaltenengers
2631;Leutesdorf
2632;Andernach
2633;Bad Breisig
2634;Bonefeld
2635;Bad H�nningen
2636;Andernach
2637;Kettig
2638;Alsau
2639;Anhausen
2641;Bad Neuenahr-Ahrweiler
2642;Bad Breisig
2643;Ahrbr�ck
2644;Alsau
2645;Kretzhaus
2646;Bad Neuenahr-Ahrw
2647;Heckenbach
2651;Ettringen
2652;Bell
2653;Bermel
2654;Einig
2655;Arft
2656;Acht
2657;Arbach
2661;Bad Marienberg
2662;Alpenrod
2663;Ailertchen
2664;Elsoff
2666;Arnsh�fen
2667;Bretthausen
2671;Bruttig-Fankel
2672;Binningen
2673;Beilstein
2674;Bad Bertrich
2675;Beuren
2676;Auderath
2677;Filz
2678;Alflen
2680;Berod
2681;Almersbach
2682;Birkenbeul
2683;Asbach
2684;Alberthofen
2685;Berzhausen
2686;Ersfeld
2687;Breitscheid
2688;Astert
2689;Dernbach
2691;Adenau
2692;Bauler
2693;Antweiler
2694;Eichenbach
2695;D�mpelfeld
2696;Borler
2697;Blankenheim
2721;Attendorn
2722;Attendorn
2723;Kirchhundem
2724;Finnentrop
2725;Lennestadt
2732;Hilchenbach
2733;Hilchenbach
2734;Freudenberg
2735;Neunkirchen
2736;Burbach
2737;Netphen
2738;Netphen
2739;Wilnsdorf
2741;Alsdorf
2742;Birken-Honigsessen
2743;Daaden
2744;Herdorf
2745;Brachbach
2747;Dickendorf
2750;Bad Berleburg
2751;Bad Berleburg
2752;Bad Laasphe
2753;Bad Laasphe
2754;Bad Laasphe
2755;Bad Berleburg
2758;Bad Berleburg
2759;Bad Berleburg
2761;Attendorn
2762;Wenden
2763;Bergneustadt
2764;Kirchhundem
2770;Eschenburg
2771;Dillenburg
2772;Herborn
2773;Haiger
2774;Bad Laasphe
2775;Driedorf
2776;Bad Endbach
2777;Breitscheid
2778;Mittenaar
2779;Greifenstein
2801;Sonsbeck
2802;Alpen
2803;Rheinberg
2804;Kalkar
2821;Bedburg
2822;Emmerich
2823;Bedburg-Hau
2824;Bedburg-Hau
2825;Kevelaer
2826;Kleve
